commit	mission_reward	secondary_rewards	steps	status	description
baseline	1189.22	hearts=66,junctions=53	3000	baseline	3A/5M merged dz2Gf
mining_mode_v1	1189.22	hearts=66,junctions=53	3000	neutral	aligner→miner after junction saturation
4A4M	1116.30	hearts=71,junctions=57	3000	discard	4 aligners / 4 miners (-6.1%)
return_load_20	1116.00	-	3000	discard	return_load=20 (-6.2%)
stuck_10	1146.65	-	3000	discard	stuck_threshold=10 (-3.6%)
stuck_20	1191.52	-	3000	neutral	stuck_threshold=20 (+0.2%)
heart_cap_8	1153.77	-	3000	discard	heart accumulation cap=8 (-3.0%)
fast_first_deposit	1176.42	-	3000	discard	miner rush at 28 load (-1.1%)
no_sentinel	1172.77	-	3000	neutral	all aligners convert (-0.1%, 6-seed)
deposit_stagger_wide	1119.48	-	3000	discard	return_load ±8 per miner (-5.9%)
deposit_stagger_narrow	1119.48	-	3000	discard	return_load ±4 per miner (-5.9%)
edge_priority_0.3	1182.95	-	3000	discard	cascade bias toward frontier junctions w=0.3 (-0.5%)
edge_priority_0.1	1156.86	-	3000	discard	cascade bias toward frontier junctions w=0.1 (-2.7%)
shared_exploration	1189.22	-	3000	neutral	share BFS map between aligners and miners (0.0%)
junction_deposit	1093.82	-	3000	discard	miners deposit at nearest friendly junction (-4.0%)
scarce_limit_1	1182.65	-	3000	discard	limit scarce-element explore to 1 miner (-0.6%)
scarce_limit_2	1105.65	-	3000	discard	limit scarce-element explore to 2 miners (-2.9%)
combo_st20_mining	1191.52	-	3000	neutral	stuck_threshold=20 + mining mode (+0.2%)
scrambler_3A1S4M	4.95	junctions_gained=73	3000	keep	scrambler role 3A/1S/4M (+31.6% vs old baseline, 6-seed)
scrambler_2A1S5M	3.82	-	3000	discard	2A/1S/5M scrambler (+1.6%)
scrambler_3A2S3M	2.72	-	3000	discard	3A/2S/3M two scramblers (-27.7%)
neutral_only_align	8.63	junctions_held=104K	3000	keep	CRITICAL: aligners only target neutral junctions (+129.5%, 6-seed)
scrambler_neutral_fix	7.61	-	3000	discard	scrambler + neutral-only fix (-11.8% vs fixed baseline)
neutral_only_explore	9.32	-	3000	discard	explore only completes on neutral junctions (+8.0% avg but seed43 2.21, unstable)
explore_hybrid_3step	8.72	-	3000	discard	neutral-only explore + 3-step enemy fallback (+1.0%)
explore_hybrid_7step	8.21	-	3000	discard	neutral-only explore + 7-step enemy fallback (-4.9%)
explore_shorter_timeout	8.59	-	3000	discard	neutral-only explore + halved timeout (-0.5%)
explore_saturated_fallback	8.63	-	3000	discard	neutral-only explore + saturated-mode enemy fallback (0.0%)
heart_queue_max2	7.86	-	3000	discard	tighter heart queue max(2,avail) (-8.9%)
distance_explore_15	8.63	-	3000	discard	explore when nearest alignable >15 dist (never triggers, 0.0%)
preemptive_resupply	9.15	-	3000	keep	resupply when 1 heart + 2 others aligning (+6.0%, 6-seed)
